FilePath,Size,CreationTime,ModifiedTime,Type,Category,Status
ReadOnlyMd/AttendedWeighingStatus状态机设计评估报告.md,20919,1768462579,1768462579,Technical Analysis,,
ReadOnlyMd/NET_DVR_RealPlay_V40.md,4955,1768462579,1768462579,Documentation,,
ReadOnlyMd/TruckScaleWeightService背压风险评估报告.md,26207,1768462579,1768462579,Technical Analysis,,
ReadOnlyMd/物料定义实体.md,1825,1768462579,1768462579,Documentation,,
ReadOnlyMd/称重拍照实现.md,1405,1768462579,1768462579,Implementation Note,,
ReadOnlyMd/系统配置.md,946,1768462579,1768462579,Configuration,,
ReadOnlyMd/重量稳定性监控优化分析.md,17812,1768462579,1768462579,Documentation,,
ReadonlyMd/cap.md,152023,1768462579,1768462579,Documentation,,
ReadonlyMd/有人值守实现.md,4631,1768462579,1768462579,Implementation Note,,
ReadonlyMd/登录页面.md,3814,1768462579,1768462579,Documentation,,
docs/AttendedWeighingDetailView-Code-Analysis-2025-12-22.md,15383,1768462579,1768462579,Agent Report,,
docs/AttendedWeighingDetailView-Code-Changes-2025-12-22.md,13598,1768462579,1768462579,Documentation,,
docs/AttendedWeighingDetailView-Optimization-Summary-2025-12-22.md,8831,1768462579,1768462579,Implementation Report,,
docs/AttendedWeighingDetailView-Performance-Optimization.md,6932,1768462579,1768462579,Implementation Report,,
docs/AttendedWeighingService-Rx-Evaluation-Report.md,16452,1768462579,1768462579,Agent Report,,
docs/AttendedWeighingService-RxState-Optimization-Report.md,29092,1768462579,1768462579,Agent Report,,
docs/Complete-Crash-Fix-Summary.md,7220,1768462579,1768462579,Implementation Report,,
docs/HikvisionOpenStream-Crash-Analysis-Report.md,48010,1768462579,1768462579,Agent Report,,
docs/Port-Pool-Integration-Fix.md,8129,1768462579,1768462579,Implementation Report,,
docs/ReaderWriterLockSlim-Performance-Evaluation.md,21621,1768462579,1768462579,Agent Report,,
docs/ReaderWriterLockSlim-Performance-Summary.md,3626,1768462579,1768462579,Implementation Report,,
docs/TimerToRx.md,6389,1768462579,1768462579,Documentation,,
docs/agents/TruckScaleWeightService-Optimization-2025-12-22.md,11651,1768462579,1768462579,Agent Report,,
docs/agents/avalonia-reactiveui-threading-2025-01-31.md,6116,1768462579,1768462579,Agent Report,,
docs/agents/hikvision-agent-2025-10-30.md,1683,1768462579,1768462579,Agent Report,,
docs/hikvision-integration.md,4126,1768462579,1768462579,Documentation,,
docs/内存溢出问题分析报告.md,8798,1768462579,1768462579,Documentation,,
specs/001-attended-weighing/checklists/requirements.md,1185,1768462580,1768462580,Specification Component,,
specs/001-attended-weighing/contracts/README.md,4075,1768462580,1768462580,Specification Component,,
specs/001-attended-weighing/data-model.md,6474,1768462580,1768462580,Data Model,,
specs/001-attended-weighing/plan.md,7959,1768462580,1768462580,Implementation Plan,,
specs/001-attended-weighing/quickstart.md,8934,1768462580,1768462580,Quick Start Guide,,
specs/001-attended-weighing/research.md,8070,1768462580,1768462580,Research,,
specs/001-attended-weighing/spec.md,14772,1768462580,1768462580,Specification,,
specs/001-attended-weighing/tasks.md,16270,1768462580,1768462580,Implementation Plan,,
specs/001-entity-init/checklists/requirements.md,1182,1768462580,1768462580,Specification Component,,
specs/001-entity-init/contracts/README.md,384,1768462580,1768462580,Specification Component,,
specs/001-entity-init/data-model.md,12554,1768462580,1768462580,Data Model,,
specs/001-entity-init/plan.md,5771,1768462580,1768462580,Implementation Plan,,
specs/001-entity-init/quickstart.md,5388,1768462580,1768462580,Quick Start Guide,,
specs/001-entity-init/research.md,9130,1768462580,1768462580,Research,,
specs/001-entity-init/spec.md,7935,1768462580,1768462580,Specification,,
specs/001-entity-init/tasks.md,15067,1768462580,1768462580,Implementation Plan,,
specs/002-login-auth/checklists/requirements.md,2221,1768462580,1768462580,Specification Component,,
specs/002-login-auth/contracts/README.md,9528,1768462580,1768462580,Specification Component,,
specs/002-login-auth/data-model.md,24217,1768462580,1768462580,Data Model,,
specs/002-login-auth/plan.md,8566,1768462580,1768462580,Implementation Plan,,
specs/002-login-auth/quickstart.md,25251,1768462580,1768462580,Quick Start Guide,,
specs/002-login-auth/research.md,30549,1768462580,1768462580,Research,,
specs/002-login-auth/spec.md,12611,1768462580,1768462580,Specification,,
specs/002-login-auth/tasks.md,22553,1768462580,1768462580,Implementation Plan,,
